,Unnamed: 0_default,Feature,Importance_default,Unnamed: 0_modified,Importance_modified
0,93,Max_Close_960,0.026312934,93,0.0219093
1,99,Min_Close_1920,0.02584012,99,0.026058111
2,1,Binary_SMA_Crossover_240_480,0.024570534,1,0.01961907
3,94,Max_Close_1920,0.022739219,94,0.02595877
4,53,SMA_cont_960,0.021321118,53,0.01455609
5,52,SMA_cont_480,0.021040756,52,0.017380077
6,91,Max_Close_240,0.01941128,91,0.021819767
7,90,Max_Close_120,0.018445497,90,0.015597241
8,7,Price_Above_VWAP_480,0.018320419,7,0.02586845
9,82,Downside_Deviation_480,0.01827398,82,0.01478736
10,84,Downside_Deviation_1920,0.01811682,84,0.018581193
11,83,Downside_Deviation_960,0.017829051,83,0.018924678
12,64,ATR_1920,0.017481672,64,0.01450674
13,96,Min_Close_240,0.017229686,96,0.014704766
14,92,Max_Close_480,0.017009912,92,0.01802267
15,95,Min_Close_120,0.015436124,95,0.033789426
16,59,Bollinger_Width_1920,0.015254565,59,0.015087829
17,74,Average_Return_1920,0.0148712965,74,0.014603733
18,63,ATR_960,0.01466175,63,0.015979208
19,58,Bollinger_Width_960,0.014537444,58,0.014949839
